Peste,Până la,IT3,IT4,IT5,IT6,IT7,IT8
-,3,0,0,0,0,0,0
3,6,1,1,5,1,3,4,6
6,10,1,1,5,2,3,6,7
10,14,1,2,3,3,7,9
14,18,1,2,3,3,7,9
18,24,1,5,2,3,4,8,12
24,30,1,5,2,3,4,8,12
30,40,1,5,3,4,5,9,14
40,50,1,5,3,4,5,9,14
50,65,2,3,5,6,11,16
65,80,2,3,5,6,11,16
80,100,2,4,5,7,13,19
100,120,2,4,5,7,13,19
120,140,3,4,6,7,15,23
140,160,3,4,6,7,15,23
160,180,3,4,6,7,15,23
180,200,3,4,6,9,17,26
200,225,3,4,6,9,17,26
225,250,3,4,6,9,17,26
250,280,4,4,7,9,20,29
280,315,4,4,7,9,20,29
315,355,4,5,7,11,21,32
355,400,4,5,7,11,21,32
400,450,5,5,7,13,23,34
450,500,5,5,7,13,23,34